year,speaker,village,language_family,gender,education,year_of_birth,position,head_lexical_class,head_length,head,gen_lexical_class,gen_referentiality,gen_individuation,gen_length,givenness,gen,line
1946,1946_Rikvani,Rikvani,Nakh-Daghestanian,m,higher,<1950,left,non_kinship,one-word,овцы,non_human,definite,sg,multi-word,other,их района,Нет . Бежтинский Цумадинский их района овцы.
1946,1946_Rikvani,Rikvani,Nakh-Daghestanian,m,higher,<1950,left,non_kinship,one-word,село,non_human,definite,sg,multi-word,other,Гумбетовского района,Гумбетовского района село .
1947,1947_Itsari,Itsari,Nakh-Daghestanian,f,lower,<1950,right,non_kinship,multi-word,выпускницы,non_human,definite,sg,multi-word,other,Липецкого пединститута,Помню я тогда я училась в пятом шестом седьмом восьмом они мои учителя Они липецкие выпускницы Липецкого пе`динститута
1947,1947_Itsari,Itsari,Nakh-Daghestanian,f,lower,<1950,right,non_kinship,one-word,кладбища,non_human,definite,non_sg,multi-word,hnew_ggiven,этих селений,Остался след остался Кладбища этих селений до сих пор есть Вот {Гиби ? нрзб} называется селение вот это в этой стороне там кладбище могилы могильные камни Вот мы когда ходили пасти моих лет девочки мальчики вот кладбище мы видели мы смотрели кости видели там человеческие ``
1947,1947_Itsari,Itsari,Nakh-Daghestanian,f,lower,<1950,right,non_kinship,multi-word,книга,non_human,definite,non_sg,one-word,other,Корана,Нельзя было А мой бра{безраб%} отец я помню что делал Он брал вот эту книгу Корана он же коммунист ! И он же он рано утром уходил
1947,1947_Itsari,Itsari,Nakh-Daghestanian,f,lower,<1950,right,non_kinship,one-word,могила,kinship,definite,sg,multi-word,other,отца и матери,Кладбище вот туда он на могилу отца и матери читал Он читать умел Читать он умел
1947,1947_Itsari,Itsari,Nakh-Daghestanian,f,lower,<1950,right,non_kinship,multi-word,постройка,non_human,definite,non_sg,multi-word,hnew_ggiven,лет,Все вот эти огороды Селение Вот это селение вообще не было это новая постройка моих лет Вот где го{безраб%} горы вот туда там только было селение
1947,1947_Itsari,Itsari,Nakh-Daghestanian,f,lower,<1950,right,non_kinship,one-word,язык,non_human,definite,sg,multi-word,other,района,Это язык их Кай{безраб%} Кайтагского района
1947,1947_Itsari,Itsari,Nakh-Daghestanian,f,lower,<1950,right,non_kinship,one-word,языки,non_human,definite,sg,one-word,other,Дагестана,Вот это у нас сходство языков Дагестана в книге даже есть учениками мы учим сходство какие слова У нас одинаковые слова есть
1947,1947_Itsari,Itsari,Nakh-Daghestanian,f,lower,<1950,right,kinship,one-word,сестра,kinship,definite,sg,multi-word,hnew_ggiven,зятя,сестра моего зятя тут живёт тут никто не живёт здесь никто не живёт Вот вверху моя племянница живёт Брат мой там живёт сейчас в селении нико{безраб%} Мужчин вообще в селении нет сейчас
1947,1947_Itsari,Itsari,Nakh-Daghestanian,f,lower,<1950,left,non_kinship,multi-word,"девочки, мальчики",non_human,definite,non_sg,multi-word,hnew_ggiven,лет,Вот мы когда ходили пасти моих лет девочки мальчики вот кладбище мы видели мы смотрели кости видели там человеческие ``
1947,1947_Itsari,Itsari,Nakh-Daghestanian,f,lower,<1950,left,non_kinship,one-word,девушки,non_human,definite,non_sg,multi-word,hnew_ggiven,лет,Вот моих лет девушки уже носили платки
1947,1947_Itsari,Itsari,Nakh-Daghestanian,f,lower,<1950,left,non_kinship,one-word,корова,non_human,definite,sg,multi-word,hnew_ggiven,хозяйства,А потом на машинах полные возили я помню И масло и сыр Государству сколько отсюда масла давали ! И сыр давали И мясо Вот каждый своего хозяйства продавал корову или быка или И целые как сказать пастбища много у нас было
1948,1948_Chuni,Chuni,Nakh-Daghestanian,m,lower,<1950,left,kinship,one-word,дети,kinship,definite,sg,one-word,hnew_ggiven,дочки,Двоюродные браты были Удада дочки \ Захи \ дети \ . . .
1948,1948_Chuni,Chuni,Nakh-Daghestanian,m,lower,<1950,left,kinship,one-word,дети,proper_human,definite,sg,one-word,hnew_ggiven,Захи,Двоюродные браты были Удада дочки \ Захи \ дети \ . . .
1948,1948_Chuni,Chuni,Nakh-Daghestanian,m,lower,<1950,left,kinship,multi-word,родственники,kinship,definite,sg,one-word,hnew_ggiven,Тёти,Тёти же близкие родственники здесь остаются .
1948,1948_Chuni,Chuni,Nakh-Daghestanian,m,lower,<1950,left,kinship,one-word,сестра,kinship,definite,sg,one-word,hnew_ggiven,дедушки,А её з = дедушки сестра . . .
1948,1948_Chuni,Chuni,Nakh-Daghestanian,m,lower,<1950,left,kinship,one-word,сестра,kinship,definite,sg,one-word,hnew_ggiven,дедушки,Это было для неё большое оскорбление она всю жизнь не любила тё = дедушки сестру .
1948,1948_Chuni,Chuni,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,администрация,non_human,definite,sg,one-word,hnew_ggiven,района,Чемпионаты Северного Кавказа с участием главы администрации района .
1948,1948_Chuni,Chuni,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,глава,non_human,definite,sg,one-word,other,администрации,Чемпионаты Северного Кавказа с участием главы администрации района .
1948,1948_Chuni,Chuni,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,multi-word,директор,non_human,definite,sg,one-word,other,сырзавода,Этот директор сырзавода говорит . . .
1948,1948_Chuni,Chuni,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,multi-word,имя,kinship,definite,sg,multi-word,hnew_ggiven,отца,Я не знаю что - то связанное с этим но это имя такое было бабушкина отца . Вот . . .
1948,1948_Chuni,Chuni,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,конец,non_human,definite,sg,one-word,hnew_ggiven,селения,Вот у нас в конце селения вот здесь . . .
1948,1948_Chuni,Chuni,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,профессора,non_human,definite,non_sg,multi-word,other,дела,Вот тогда этих людей называли профессорами своего дела .
1948,1948_Chuni,Chuni,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,чемпионаты,non_human,definite,sg,multi-word,hnew_ggiven,Кавказа,Чемпионаты Северного Кавказа с участием главы администрации района .
1948,1948_Mehweb,Mehweb,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,архив,non_human,definite,sg,one-word,hnew_ggiven,Махачкалы,"Вот раньше если взять паспорт в Махачкале там свидетельство тоже в архиве Махачкалы взято и паспорт там взят там "" даргинец "" писали"
1948,1948_Mehweb,Mehweb,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,архивы,non_human,definite,sg,multi-word,other,министерства,Ну это если есть в этом в архивах министерства образования .
1948,1948_Mehweb,Mehweb,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,история,non_human,definite,sg,one-word,hnew_ggiven,школы,Так вос . . . Подождите здесь у меня история школы есть сейчас я вам . . .
1948,1948_Mehweb,Mehweb,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,история,non_human,definite,sg,one-word,other,школы,Так конкурс история школы
1948,1948_Mehweb,Mehweb,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,конец,non_human,definite,non_sg,multi-word,other,века,Ну был один документ здесь . Это конец 19 - ого века 1890 - е годы .
1948,1948_Mehweb,Mehweb,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,конец,non_human,definite,non_sg,multi-word,other,века,Это конец четырнадцатого века
1948,1948_Mehweb,Mehweb,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,линия,kinship,definite,sg,one-word,other,отца,Они поздно умерли . Вот . По линии отца я их не помню потому что я когда совсем маленький был умерли они .
1948,1948_Mehweb,Mehweb,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,начало,non_human,definite,non_sg,multi-word,other,работы,Вообще это - начало работы школы - это 32 - ой год . Тысяча девятьсот тридцать второй год .
1948,1948_Mehweb,Mehweb,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,работа,non_human,definite,sg,one-word,other,школы,Вообще это - начало работы школы - это 32 - ой год . Тысяча девятьсот тридцать второй год .
1949,1949_Ersi,Ersi,Turkic,m,higher,<1950,right,non_kinship,one-word,конец,non_human,definite,non_sg,one-word,other,войны,тот который в конце войны .
1949,1949_Ersi,Ersi,Turkic,m,higher,<1950,right,non_kinship,one-word,линия,kinship,definite,sg,one-word,other,матери,Дедушку я не видел ни = ни по линии отца ни по линии матери ээ .
1949,1949_Ersi,Ersi,Turkic,m,higher,<1950,right,non_kinship,one-word,линия,kinship,definite,sg,one-word,other,отца,Дедушку я не видел ни = ни по линии отца ни по линии матери ээ .
